train/ent_coef_loss,train/critic_loss,time/episodes,time/total_timesteps,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,train/n_updates,rollout/ep_rew_mean,train/actor_loss,rollout/success_rate
-1.9550787024199963,0.1097175506874919,1292,125824,0.0001,10,11651,95.08,0.678928205743432,3904,-94.99,-9.602272480726242,0.09
,,1296,126112,,10,11658,95.08,,,-94.99,,0.09
,,1300,126624,,10,11670,94.5,,,-94.4,,0.1
,,1304,126752,,10,11673,94.53,,,-94.43,,0.1
,,1308,126944,,10,11678,93.87,,,-93.76,,0.11
-1.9877763129770756,0.11891930550336838,1312,127008,0.0001,10,11823,93.87,0.6745976209640503,3968,-93.76,-9.42202652990818,0.11
,,1316,127584,,10,11836,93.87,,,-93.76,,0.11
,,1320,127936,,10,11844,93.87,,,-93.76,,0.11
,,1324,128704,,10,11861,93.4,,,-93.28,,0.12
-2.019895900040865,0.1072905826731585,1328,129248,0.0001,10,12016,93.4,0.6702947793528438,4032,-93.28,-9.24161034822464,0.12
,,1332,129632,,10,12025,93.63,,,-93.52,,0.11
,,1336,129952,,10,12032,93.63,,,-93.52,,0.11
,,1340,130112,,10,12037,93.63,,,-93.52,,0.11
,,1344,130144,,10,12038,94.27,,,-94.17,,0.1
,,1348,130784,,10,12052,94.88,,,-94.79,,0.09
-2.0527582839131355,0.09570679068565369,1352,131136,0.0001,10,12204,94.88,0.666018701158464,4096,-94.79,-9.060899063944817,0.09
,,1356,131808,,10,12219,94.77,,,-94.68,,0.09
,,1360,132224,,10,12228,94.76,,,-94.67,,0.09
,,1364,132576,,10,12237,94.76,,,-94.67,,0.09
,,1368,133056,,10,12248,94.76,,,-94.67,,0.09
-2.0847917571663857,0.10213193052913994,1372,133216,0.0001,10,12397,94.76,0.6617694515734911,4160,-94.67,-8.884228333830833,0.09
,,1376,133344,,10,12400,95.45,,,-95.37,,0.08
,,1380,133984,,10,12414,96.19,,,-96.12,,0.07
,,1384,134336,,10,12423,96.19,,,-96.12,,0.07
,,1388,134592,,10,12429,95.58,,,-95.5,,0.08
-2.117175627499819,0.1062948137987405,1392,135392,0.0001,10,12590,95.96,0.657547733746469,4224,-95.88,-8.699632063508034,0.08
,,1396,135648,,10,12596,95.96,,,-95.88,,0.08
,,1400,135904,,10,12602,96.39,,,-96.31,,0.08
,,1404,136288,,10,12611,96.21,,,-96.13,,0.08
,,1408,136544,,10,12617,96.87,,,-96.8,,0.07
,,1412,137056,,10,12629,96.87,,,-96.8,,0.07
-2.149314910173416,0.10049568599788472,1416,137440,0.0001,10,12781,96.35,0.6533533092588186,4288,-96.27,-8.526299461722374,0.08
,,1420,137664,,10,12787,96.35,,,-96.27,,0.08
,,1424,138432,,10,12803,96.82,,,-96.75,,0.07
,,1428,138624,,10,12808,96.54,,,-96.46,,0.08
,,1432,138976,,10,12817,96.54,,,-96.46,,0.08
-2.1815834753215313,0.09519289730815217,1436,139488,0.0001,10,12972,96.54,0.6491855271160603,4352,-96.46,-8.344545736908913,0.08
,,1440,139744,,10,12978,96.54,,,-96.46,,0.08
,,1444,140256,,10,12990,96.54,,,-96.46,,0.08
