time/episodes,train/ent_coef,train/ent_coef_loss,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/learning_rate,train/n_updates,train/actor_loss,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,train/critic_loss
1380,,,-94.32,134368,28,,,,94.42,0.1,4709,
1384,,,-94.32,134624,28,,,,94.42,0.1,4715,
1388,,,-94.32,134688,28,,,,94.42,0.1,4717,
1392,0.6575460452586412,-2.117387216538191,-94.42,135712,28,0.0001,4224,-8.737446933984756,94.52,0.1,4767,0.11184688832145184
1396,,,-95.18,136256,28,,,,95.27,0.09,4778,
1400,,,-95.18,136576,28,,,,95.27,0.09,4785,
1404,,,-96.09,136864,28,,,,96.16,0.07,4792,
1408,0.6533513283357024,-2.1495679058134556,-96.09,137312,28,0.0001,4288,-8.568070381879807,96.16,0.07,4830,0.11325009830761701
1412,,,-96.09,137568,28,,,,96.16,0.07,4836,
1416,,,-96.24,137824,28,,,,96.31,0.07,4842,
1420,,,-96.62,137888,28,,,,96.68,0.06,4843,
1424,,,-96.71,138816,28,,,,96.77,0.06,4862,
1428,0.6491833049803972,-2.1818880513310432,-96.71,139360,28,0.0001,4352,-8.391780957579613,96.77,0.06,4902,0.09791149385273457
1432,,,-96.71,139744,28,,,,96.77,0.06,4911,
1436,,,-96.71,140032,28,,,,96.77,0.06,4917,
1440,,,-96.43,140288,28,,,,96.5,0.07,4923,
1444,,,-96.91,140544,28,,,,96.97,0.06,4929,
1448,,,-97.48,141024,28,,,,97.53,0.05,4939,
1452,,,-97.48,141088,28,,,,97.53,0.05,4941,
