train/actor_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef_loss,rollout/success_rate,train/learning_rate,train/ent_coef,time/episodes,train/critic_loss,time/time_elapsed,time/total_timesteps,train/n_updates,time/fps
,94.67,-94.56,,0.11,,,1020,,16264,99456,,6
,95.64,-95.54,,0.1,,,1024,,16275,100128,,6
-11.811483189463615,95.64,-95.54,-1.5665439497679472,0.1,0.0001,0.7331925518810749,1028,0.13327521207975224,16591,100608,3136,6
,95.13,-95.02,,0.11,,,1032,,16601,101056,,6
,94.57,-94.45,,0.12,,,1036,,16608,101440,,6
,94.57,-94.45,,0.12,,,1040,,16611,101632,,6
,95.09,-94.98,,0.11,,,1044,,16618,101984,,6
,95.56,-95.46,,0.1,,,1048,,16623,102304,,6
-11.61393178999424,95.56,-95.46,-1.5992459189146757,0.1,0.0001,0.728516680188477,1052,0.13315082230838016,16935,102464,3200,6
,95.56,-95.46,,0.1,,,1056,,16950,103328,,6
,96.19,-96.11,,0.08,,,1060,,16959,103808,,6
,96.19,-96.11,,0.08,,,1064,,16968,104256,,6
-11.415951550006866,96.19,-96.11,-1.6317286640405655,0.08,0.0001,0.7238700082525611,1068,0.12055259267799556,17283,104640,3264,6
,96.19,-96.11,,0.08,,,1072,,17287,104832,,6
,96.19,-96.11,,0.08,,,1076,,17292,105184,,6
,96.53,-96.45,,0.08,,,1080,,17298,105472,,6
,96.53,-96.45,,0.08,,,1084,,17301,105600,,6
-11.230312541127205,96.53,-96.45,-1.6640599332749844,0.08,0.0001,0.7192523218691349,1088,0.12301878404105082,17623,106528,3328,6
,96.49,-96.41,,0.08,,,1092,,17629,106816,,6
,96.21,-96.12,,0.09,,,1096,,17636,107104,,6
,96.21,-96.12,,0.09,,,1100,,17644,107616,,6
,96.21,-96.12,,0.09,,,1104,,17649,107872,,6
,96.01,-95.91,,0.1,,,1108,,17654,108128,,6
